id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
1754,heading,adjust,"design element , such",unknown,provide,complete information,red tag label,need,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1755,unknown,proofread,text,Instagram icon,change,Instagram icon color,presence,simplify,interface,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1756,button,increase,size,font,use,large font size Bounding Box,button,make,designer,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1757,font weight,increase,font weight,text,increase,text,social medium platform,make,icon,unknown,try,unknown,font,use,large font size,unknown,unknown,unknown,unknown,unknown,unknown
1758,element,add,border,lack,adjust,design,unknown,unknown,unknown,text,increase,text size,unknown,replace,downward arrow icon,unknown,unknown,unknown,absence,integrate,clear navigation icon
1759,menu option,introduce,horizontal line,text,increase,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1760,icon,place,heading,icon,give,similar graphic treatment,unknown,add,separator line,unknown,add,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1761,text element,try,unknown,design,simplify,design,unknown,unknown,unknown,button,add,label,navigation,add,clear navigation bar or menu,unknown,unknown,unknown,unknown,unknown,unknown
1762,element,rearrange,element,unknown,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1763,unknown,unknown,unknown,user,be,header,icon and text element,make,visual balance,design,follow,design guideline and align element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1764,text,increase,font size and weight,text,change,color,back button size,increase,back button size,unknown,remove,advertisement,unknown,use,same font size and weight,Criteria section,use,same font and color scheme,unknown,unknown,unknown
1765,two label,use,label be relevant,unknown,move,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1766,criterion section,consider,dark color scheme,icon,need,size,uneven space,improve,readability and navigation,Criteria section,use,dark font color scheme,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1767,text,increase,text,color use,change,color,unknown,try,unknown,unknown,redesign,page,font,use,large font size and more white space,unknown,unknown,unknown,unknown,unknown,unknown
1768,logo,ensure,unknown,background,choose,different font color,plus sign,make,plus,app 's appearance,introduce,vibrant and eye-catch color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1769,text heading,update,text heading,advertisement,add,recognizable skip ad icon,background color,adjust,either background color,color,use,more muted color scheme and more organized layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1770,back button,enlarge,back button,text font size,increase,text font size,show button,enlarge,show button,text,increase,size,forgot password button,darken,button border,highlighted text,increase,text font size,text,increase,font size
1771,word email and password,maintain,same font,text,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1772,text,increase,font size,background,choose,background provide well contrast,text,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1773,text,adjust,text size,unknown,simplify,layout,unknown,integrate,clear visual cue,font,increase,font size,design,simplify,design,unknown,unknown,unknown,unknown,unknown,unknown
1774,text,change,font weight and color,font,increase,font size,design,simplify,design,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1775,advertisement,include,"identifiable icon or button , such",text,increase,contrast,unknown,increase,font size,weather temperature text 38 degree,add,appropriate unit,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1776,text,increase,font size and weight,text,change,color,unknown,redesign,unknown,unknown,add,link back,unknown,add,button,font,use,large font size and more white space,unknown,unknown,unknown
1777,highlight button,enlarge,button,text font size,increase,text font size,font,use,large font size and more white space,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1778,background,choose,background provide well contrast,text,increase,font size,button,increase,size,font,use,large font size and more white space,button,make,designer,unknown,unknown,unknown,unknown,unknown,unknown
1779,text,increase,font size and weight,text,change,text and background color,unknown,use,same font size and weight,font,use,large font size and more white space,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1780,unknown,add,head label,font,change,font,text,increase,text,font,use,large font size,button,add,more space,unknown,unknown,unknown,unknown,unknown,unknown
1781,"most important information , appear to be distance",move,"distance readout , 0.00 km",unknown,try,unknown,unknown,try,unknown,font,use,large font size,font,use,large font size,unknown,unknown,unknown,unknown,unknown,unknown
1782,icon,change,icon,use,reduce,amount,text,change,text,lack,try,unknown,visual prominence,be,Save button,element,align,element,unknown,unknown,unknown
1783,back button,enlarge,back button,save button,enlarge,save button,highlighted text,enlarge,text,text font size,increase,text font size,background,choose,different font color,text font size,increase,text font size,highlight button,enlarge,button
1784,save button,increase,contrast,icon,increase,contrast,calendar icon,adjust,alignment,visual prominence,be,Save button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1785,text,increase,font size and weight,text,change,color,hamburger menu icon size,increase,Icon/ bar size,unknown,try,unknown,unknown,redesign,unknown,unknown,use,same font size and weight,hierarchy,use,font size and weight
1786,t W I S E,ensure,unknown,text,use,dark color,different color,use,more consistent and unified color scheme,unknown,make,alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1787,button label,start,button label,headline,decrease,length,unknown,try,unknown,hierarchy,have,same font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1788,YES button placement next,consider,unknown,UI,enhance,user experience,lack,improve,clarity,do button,label,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1789,placement,replace,Menu button,do button,enlarge,button,text font size,increase,text font size,app 's design,incorporate,vibrant color scheme,do button,label,button,checkbox,like,unknown,unknown,unknown,unknown
1790,text,increase,font size,button,increase,size,text,leave,text,form field,move,label,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1791,menu icon,adjust,positioning,icon,adjust,contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1792,image/ doodle,add,image/ doodle be clearly visible,menu icon,change,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1793,menu button,adjust,positioning,quote sign,change,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1794,text,increase,font size and weight,text,change,color,unknown,try,unknown,back button size,increase,back button size,play button,replace,button,element,try,unknown,unknown,unknown,unknown
1795,icon,change,icon,icon,consider,unknown,now playing section,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1796,playlist,display,playlist,placement,consider,unknown,element,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1797,unknown,redesign,unknown,unknown,add,link back,unknown,add,button,hamburger menu icon size,increase,Icon/ bar size,icon,add,label,affordance,label,three icon,unknown,unknown,unknown
1798,unknown,unknown,unknown,affordance,label,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1799,unknown,use,icon have clear and intuitive meaning or provide label to accompany icon,affordance,label,three horizontal line,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1800,design,implement,back icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,incorporate,footer section contain menu icon / button,nearby stop,change,error message,unknown,unknown,unknown,unknown,unknown,unknown
1801,question mark icon,add,label,refresh button,move,refresh button,nearby stop,change,error message,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1802,nearby stop,change,error message,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1803,nearby stop element,consider,unknown,lacement,consider,unknown,refresh button,move,refresh button,nearby stop,replace,message,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1804,unknown,unknown,unknown,element,increase,element 's size,nearby stop,implement,clear message explain stop & visually connect refresh button,design,implement,back icon,nearby stop,replace,message,unknown,unknown,unknown,unknown,unknown,unknown
1805,color,use,color be pleasant and should be visually prominent Bounding Box,grey text,use,dark text,purpose,replace,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1806,unknown,move,button,navigation,make,designer,save and delete button,change,color,color,use,more muted color and more organized layout,information,use,more organized layout,app,make,designer,unknown,unknown,unknown
1807,button,change,color,text label,align,label,color,use,more muted color and more organized layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1808,BIB LA,replace,unknown,design,use,Green,Test\ label,remove,test,app,make,designer,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1809,text,change,color,unknown,remove,advertisement,unknown,add,button,unknown,add,button,page,change,text and background color,color,use,more muted color scheme and more organized layout,text,use,large font size and well color scheme
1810,text font size,increase,text font size,highlighted icon,enlarge,unknown,background,choose,different font color,text font size,increase,text font size,color,use,more muted color scheme and more organized layout,unknown,unknown,unknown,unknown,unknown,unknown
1811,unknown,adjust,color or contrast,green color text,consider,unknown,text,use,more legible font and more accessible layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1812,excessive white space,optimize,white space,unknown,unknown,unknown,unknown,consider,unknown,button,increase,group relate button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1813,text element,increase,spacing,button,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1814,unknown,consider,unknown,unknown,consider,unknown,paragraph,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1815,back button size,increase,back button size,text,change,color,unknown,try,unknown,unknown,add,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1816,back button,enlarge,back button,text,make,unknown,Sign,enlarge,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1817,sign,change,font color,heading setting,be,setting instead,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1818,unknown,integrate,prominent cross icon,unknown,unknown,unknown,unknown,integrate,menu icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1819,Info icon,adjust,color contrast,menu icon,adjust,layout dimension or positioning,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1820,half,consider,unknown,design,use,light weight and light color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1821,ad,prioritize,content,element,aim,unknown,background image,adjust,image opacity,lack,increase,white space,unknown,implement,universally recognize,design,implement,clear Next Page button and intuitive video selection option,font,change,font
1822,navigation button,consider,unknown,text font size,increase,size,screen,remove,unknown,font,change,font,design,change,design,unknown,unknown,unknown,unknown,unknown,unknown
1823,text,increase,font size,button,make,unknown,video,remove,video,font,change,font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1824,Menu button,enlarge,Menu button,text font size,increase,text font size,star,select,contrast color,text,increase,text,UI,be,color,unknown,unknown,unknown,unknown,unknown,unknown
1825,unknown,allow,unknown,unknown,adjust,spacing,purpose or relevance,consider,unknown,text,increase,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1826,element,require,more space,design,add,more space,text and icon,need,text and icon,UI,be,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1827,menu bar,improve,user interaction and clarity,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1828,unknown,unknown,unknown,unknown,ensure,unknown,unknown,unknown,unknown,element,implement,responsive design,alert management,implement,robust alert system,unknown,add,button,unknown,add,delete button
1829,three line,increase,three line,text message,be,entire message,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1830,goto text,separate,GO,unknown,add,button,unknown,add,button,unknown,redesign,unknown,background image,remove,background image,unknown,change,text,unknown,remove,background image
1831,absence,add,back icon,button label Goto setting,update,text,unknown,change,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1832,unknown,write,unknown,unknown,change,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1833,navigation,consider,unknown,text,increase,contrast,user,label,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1834,unknown,add,back button,button,be,Sign,text,increase,text,text,make,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1835,text,increase,font size,text and Sign,give,other font or size,text,make,text,user,label,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1836,text,increase,font size and weight,text,change,color,unknown,redesign,unknown,unknown,try,unknown,unknown,use,same font size and weight,text,increase,font size,text,use,same font type / size / color / weight
1837,text,consider,unknown,highlighted button,consider,unknown,text font size,increase,text font size,app 's appearance,introduce,vibrant color,text,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown
1838,unknown,adjust,button color,text,increase,contrast,color scheme,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1839,unknown,redesign,unknown,unknown,add,button,unknown,add,search bar,unknown,add,button,unknown,increase,marginal space,design,revise,design,unknown,unknown,unknown
1840,design,use,more visually appealing design,unnecessarily large font,use,appropriate font size,element,use,line,design,revise,design,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1841,lack,try,unknown,section border,enhance,visual clarity,Cotton Tail,use,same visual feature,element occupy similar position,revise,design,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1842,design,implement,back icon,unknown,update,design,edit profile button,give,contrast color or visual treatment,unknown,unknown,unknown,lack,enhance,visual separation,text,increase,text,element,align,element
1843,absence,incorporate,back icon or button,unknown,modify,appearance,most important information,emphasize,most important information,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1844,unknown,remove,text be not necessary to be,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1845,text,adjust,contrast,text field,adjust,padding and margin,design,implement,back icon,unknown,unknown,unknown,text,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1846,background,choose,different font color,input field,increase,padding,unknown,enlarge,unknown,highlighted text,enlarge,unknown,app 's design,add,"visually appeal graphic , or engage animation",font,increase,font size,design,be,design
1847,font size,increase,font size,unknown,create,link instead,font,increase,font size,design,be,design,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1848,design,organize,design,text,increase,contrast,user,replace,automatic shredding text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1849,back button,enlarge,button,back button,add,more space,text font size,increase,text font size,text,consider,unknown,appearance,consider,unknown,text,increase,text,unknown,unknown,unknown
1850,automatic shredding text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1851,back button,enlarge,back button,background,change,font color,text,increase,margin,background,choose,different font color,back button,move,unknown,app 's appearance,redesign,interface,UI,use,more readable font and more muted color scheme
1852,text,adjust,color,back button,increase,contrast,layout,simplify,layout,UI,use,more simple and easy,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1853,color scheme,be,other color Bounding Box,back button,be,back button,UI,use,same font size and color scheme,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1854,back button,incorporate,back button,submit and cancel button,incorporate,unknown,background image / color,extend,background image / color,color,use,consistent color scheme,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1855,layout,add,"easily recognizable icon , such",layout,add,Apply or Save button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1856,checklist item,adjust,size,choice,try,unknown,color,use,consistent color scheme,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1857,design,remove,unnecessary element,text,change,text,text color,change,text color,border,change,border,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1858,back button,enlarge,back button,text font size,increase,text font size,highlight heading,enlarge,heading,check box,increase,size,app 's design,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1859,text,change,background color or text color,font hierarchy,consider,unknown,paragraph space,change,paragraph space,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1860,readability,consider,unknown,lack,introduce,distinct background treatment,font,use,more legible font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1861,amount,consider,unknown,small text font size and background,increase,text font size,font,increase,font size,image,replace,image,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1862,back ground color,need,unknown,font,increase,font size,image,replace,image,visual style,consistent,visual style,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1863,search button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1864,text and icon,increase,size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1865,unknown,remove,search,unknown,place,element such that give clear understanding and usage,design element,remove,element be inappropriate and make design well organise Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1866,element,add,border,unknown,increase,head size / weight,lack background contrast,use,contrast background or divider,design,implement,clear and consistent action icon,design,replace,duplicate text support,unknown,unknown,unknown,unknown,unknown,unknown
1867,layout,add,back icon,heading,adjust,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1868,heading and sub heading,try,unknown,unknown,add,separation line,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1869,text,increase,font size and weight,text,change,color,unknown,try,unknown,back button size,increase,back button size,unknown,add,button,text,increase,font size,element,reposition,element
1870,text,change,text,icon,change,icon,unknown,use,"single , consistent color",unknown,check,spelling and grammar,text,improve,background,Add,align,Add,Add,make,Add
1871,text delivery fee,change,font color,arrow,change,color,text,improve,background,Add,align,Add,Add,place,Add,unknown,unknown,unknown,unknown,unknown,unknown
1872,text font size,increase,text font size,background,choose,different contrast background,highlighted icon,make,unknown,edit button,enlarge,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1873,background image use,adjust,brightness,text and icon font color,use,dark font color,text size,increase,text size,restaurant icon use,replace,restaurant icon,navigation bar,be,solid color,text,be,dark color,icon,be,dark color
1874,light gray text,consider,unknown,set icon,consider,unknown,text,be,dark color,icon,be,dark color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1875,title,change,title,design,improve,user experience,text,use,dark color,app,make,designer,language use,use,clear and concise language,visual style,use,consistent visual style,unknown,unknown,unknown
1876,design,implement,back icon,absence,integrate,miss icon,small gray text and icon,increase,contrast and size,text,be,large enough and well contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1877,heading,increase,font size,spacing,ensure,unknown,language,order,language list,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1878,unknown,implement,universally recognize,icon,increase,icon contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1879,arrow,omit,arrow,head help,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1880,icon,adjust,color or brightness,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1881,text,increase,font size and weight,text,change,color,unknown,try,unknown,icon,add,label,unknown,use,same font size and weight,unknown,unknown,unknown,unknown,unknown,unknown
1882,icon,change,icon be relevant,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1883,choice,add,relevant icon convey meaning easily,unknown,add,separator line,icon,change,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1884,Skip button,enlarge,button,text font size,increase,text font size,text,increase,text,unknown,remove,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1885,button,add,boundary,text,increase,font weight and size,text,increase,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1886,next button,make,unknown,text,increase,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1887,text,increase,font size and weight,text,change,color,Menu,redesign,layout Bounding Box,unknown,add,button,icon size be make screen cluttered,reduce,icon size,unknown,use,same font size and weight,unknown,redesign,unknown
1888,text ready,align,text,unknown,add,relevant icon,back button,add,back button,font,use,large font size Bounding Box,button,make,button large Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown
1889,menu icon,adjust,alignment,icon,adjust,color or brightness,button text Upgrade now,increase,font size,font,use,large font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1890,text,increase,font size and weight,text,change,color,back button size,increase,back button size,unknown,use,same font size and weight,unknown,redesign,UI,unknown,add,button,text,increase,font size
1891,element occupy similar position,revise,design,ADD to card button,be,right align Bounding Box,text,use,dark color,unknown,remove,unnecessary visual element,Buttermilk Biscuits checkbox,make,unknown,design,redesign,ui,unknown,unknown,unknown
1892,Quantity value 1,use,well color contrast,text Mary\t,use,consistent font style,Fried Chicken Entree heading,increase,font size,1,distribute,re-position element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1893,text,increase,font size and weight,text,change,color,back button size,increase,back button size,unknown,increase,size,most sell promotion and value meal,give,different section,text,increase,text,open button,align,open button
1894,back button,enlarge,back button,highlight button,enlarge,button,text font size,increase,text font size,dropdown button,consider,unknown,highlighted text,increase,text font size,text,increase,text,unknown,remove,unknown
1895,unknown,add,image / content,icon,change,icon be relevant,open text,provide,clear and descriptive text communicate intend action or function associate,open button,align,open button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1896,font size,increase,font size,design,implement,back icon,lack,ensure,clear visibility,essential feature such,prioritize,design,unknown,be,unknown,user,add,scroll bar or way for user to navigate,font,increase,font size
1897,image,adjust,positioning,spacing and alignment,make,spacing and alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1898,font size,increase,font size,more space,give,more space,element,provide,information,font,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1899,unknown,implement,responsive design,unknown,integrate,well-define menu,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1900,large amount,reduce,empty space,body text,adjust,font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1901,icon and text place,align,icon and text element,unknown,remove,spacing,FAQ text section,use,bolder font style and color,FAQ,use,dark font style and dark color scheme,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1902,unknown,unknown,unknown,design,tailor,design,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1903,location tab,add,one line description,font size,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1904,current color scheme,choose,nice color work well together,element,improve,element,button color,consider,unknown,button color,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1905,similar button and background color,increase,contrast,uniform font size and style,use,hierarchical font system,uniform black background,apply,contrast background color or subtle gradient,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1906,text,use,left-align layout,"heading , subheading , and button",implement,clear font size hierarchy,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1907,font weight,increase,font weight,text,increase,font size and weight,color and font,use,more muted color scheme and large font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1908,element,increase,padding,unknown,increase,text size,unknown,use,white space,gray text,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1909,black background,adjust,width,text size,increase,text size,text,increase,font size,Silent Notifications switch,increase,size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1910,spam filter level,include,user-controllable option to adjust spam filter level,task,use,different color or shade,text,increase,font size,text,increase,font size,text,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown
1911,text,increase,font size and weight,text,change,color,unknown,redesign,UI,color,use,more muted color scheme,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1912,unknown,prioritize,element,unknown,increase,text size and,visual hierarchy,use,"different font size , color , and",text,increase,text size and,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1913,unknown,unknown,unknown,size,use,"different text size , text-color and proper spacing",rating,add,"name , location and rating info",visual hierarchy,use,"different font size , color , and",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1914,Search icon,make,icon,Users,change,label,navigation,add,clear and concise navigation bar,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1915,search button,adjust,contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1916,button,adjust,button background color,Search button,try,unknown,font hierarchy,consider,unknown,color,use,more muted color scheme and more organized layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1917,design,improve,user experience,text,make,text,unknown,proofread,text,color contrast,use,high color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1918,label,increase,font size and weight,font,use,large font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1919,design,decrease,length,unknown,highlight,use,font,use,large font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
