id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
1643,Customization of app settings and preferences,Text Readability,ranking text,follow,ranking text,7,7,7,4.0,4
1645,Exploration and Navigation,Layout,breakfast icon,adjust,prominently position back button,4,4,4,2.0,2
1647,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1650,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1652,Exploration and Navigation,Layout,breakfast icon,relocate,breakfast icon,6,6,6,3.0,3
1653,Accessing and managing information,Layout,separate background,choose,separate background,5,5,5,2.0,3
1655,Accessing and managing information,Layout,ranking text,be,ranking text,4,4,4,4.0,4
1656,Accessing and managing information,Layout,ranking text,increase,current button size,3,4,3,2.0,2
1657,Accessing and managing information,Layout,ranking text,uniform font style to be use consistently,current button size,6,6,6,3.0,3
1658,Accessing and managing information,Layout,button or icon allow user to see current location,increase,current button size,5,4,5,2.0,2
1660,Accessing and managing information,Layout,ranking text,increase,text color contrast,6,6,6,3.0,3
1661,Accessing and managing information,Layout,positioning use design software to ensure alignment,reintegrate,space element,7,7,7,3.0,4
1663,Accessing and managing information,Layout,ranking text,increase,current button size,5,6,5,3.0,3
1664,Accessing and managing information,Color Contrast,text color contrast,uniform font style to be use consistently,text color contrast,5,6,5,3.0,3
1667,Exploration and Navigation,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,placeholder image or alternative visual content,4,6,5,3.0,3
1668,User account management,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1669,User account management,Color Contrast,purpose and function,be,readability and information flow,7,6,7,3.0,3
1670,User account management,Layout,ranking text,increase,current button size,5,5,5,3.0,2
1671,Exploration and Navigation,Usability of Buttons,clear and functional checkbox,reintegrate,purpose and function,6,6,6,3.0,3
1672,Exploration and Navigation,Layout,most important headline,emphasize,heading,4,4,4,2.0,2
1677,Location and Travel,Layout,ok and cancel button,make,ok and cancel button,5,5,5,3.0,2
1678,Location and Travel,Usability of Buttons,advertisement,add,same font size / type / color weight,6,6,6,3.0,3
1679,Location and Travel,Usability of Buttons,button or icon allow user to see current location,choose,positioning use design software to ensure alignment,5,5,5,2.0,2
1680,Media and content interaction,Color Contrast,play button icon,increase,separate background,6,6,6,3.0,3
1681,Media and content interaction,Usability of Buttons,clear and functional checkbox,add,more suitable tittle,5,6,6,3.0,3
1682,Media and content interaction,Learnability,play button icon,align,purpose and function,5,6,6,3.0,3
1685,Customization of app settings and preferences,Layout,uniform font style to be use consistently,change,uniform font style to be use consistently,5,5,5,3.0,3
1686,User account management,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1688,User account management,Layout,spacing,reduce,spacing,7,7,7,3.0,4
1689,Exploration and Navigation,Layout,current ad section,adjust,spacing,4,4,4,2.0,2
1691,Exploration and Navigation,Usability of Buttons,add,be,dark color scheme Bounding Box,4,4,4,4.0,4
1692,Accessing and managing information,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1695,User account management,Color Contrast,ranking text,increase,separate background,6,6,6,3.0,3
1696,User account management,Text Readability,ranking text,increase,current button size,7,6,6,3.0,3
1698,Exploration and Navigation,Text Readability,positioning use design software to ensure alignment,reintegrate,same font size / type / color weight,6,6,6,3.0,3
1700,Exploration and Navigation,Learnability,ranking text,present,ranking text,4,4,4,4.0,4
1702,Accessing and managing information,Learnability,ranking text,uniform font style to be use consistently,space element,6,6,6,3.0,3
1704,User account management,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1705,User account management,Usability of Buttons,ranking text,increase,ranking text,6,8,7,4.0,4
1706,User account management,Usability of Buttons,Login,uniform font style to be use consistently,text color contrast,5,5,5,3.0,3
1708,Media and content interaction,Usability of Buttons,button or icon allow user to see current location,make,button or icon allow user to see current location,4,8,6,4.0,4
1710,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1712,Exploration and Navigation,Layout,positioning use design software to ensure alignment,resize,designer,7,7,7,4.0,4
1715,Exploration and Navigation,Color Contrast,text color contrast,change,color weight,7,7,7,4.0,4
1719,Location and Travel,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1720,Location and Travel,Layout,cross button,enlarge,cross button,6,5,6,2.0,3
1721,Location and Travel,Layout,breakfast icon,be,breakfast icon,4,4,4,4.0,4
1722,Media and content interaction,Layout,current button size,increase,current button size,6,6,6,3.0,3
1724,Media and content interaction,Learnability,ranking text,change,text color contrast,6,6,6,3.0,3
1726,Customization of app settings and preferences,Color Contrast,cancel button,distinguish,placeholder image or alternative visual content,6,6,6,3.0,3
1728,User account management,Color Contrast,current button size,increase,current button size,6,6,6,3.0,3
1729,Accessing and managing information,Layout,text color contrast,change,text color contrast,3,4,4,2.0,2
1731,User account management,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1733,User account management,Text Readability,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,7,8,7,4.0,4
1734,Accessing and managing information,Color Contrast,ranking text,increase,color weight,6,6,6,3.0,3
1736,Accessing and managing information,Layout,text color contrast,adjust,text color contrast,7,6,6,3.0,3
1740,User account management,Color Contrast,absence,reintegrate,breakfast icon,6,6,6,3.0,3
1742,User account management,Usability of Buttons,Deny and Allow button,give,"more common language , such",7,7,7,3.0,4
1743,Accessing and managing information,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1744,Accessing and managing information,Text Readability,ranking text,uniform font style to be use consistently,ranking text,7,7,7,4.0,3
1745,Accessing and managing information,Learnability,ranking text,uniform font style to be use consistently,ranking text,6,6,6,3.0,3
1747,Media and content interaction,Layout,ranking text,leave alignment,ranking text,5,5,5,3.0,2
1748,Media and content interaction,Layout,breakfast icon,offer,purpose and function,6,6,6,4.0,4
1749,Accessing and managing information,Layout,positioning use design software to ensure alignment,improve,positioning use design software to ensure alignment,5,5,5,3.0,2
1751,Accessing and managing information,Learnability,screen,uniform font style to be use consistently,setting bar,4,5,5,3.0,3
1753,Exploration and Navigation,Learnability,ranking text,adjust,positioning use design software to ensure alignment,6,6,6,3.0,3
1755,Media and content interaction,Learnability,breakfast icon,change,text color contrast,5,5,5,3.0,2
1756,Media and content interaction,Text Readability,more readable font,uniform font style to be use consistently,large font size and more white space Bounding Box,5,8,6,4.0,4
1757,Media and content interaction,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
1758,Exploration and Navigation,Layout,current lack,adjust,positioning use design software to ensure alignment,3,4,3,2.0,2
1759,Exploration and Navigation,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
1760,Exploration and Navigation,Layout,breakfast icon,give,similar graphic treatment,5,5,6,3.0,3
1761,Accessing and managing information,Layout,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,5,5,5,3.0,2
1763,Accessing and managing information,Layout,clear and functional checkbox,be,header and sub header,5,6,5,3.0,3
1764,Accessing and managing information,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1766,Accessing and managing information,Layout,breakfast icon,need,current button size,6,6,6,3.0,3
1767,Media and content interaction,Layout,uniform font style to be use consistently,change,text color contrast,6,6,6,3.0,3
1768,Media and content interaction,Layout,separate background,choose,text color contrast,5,5,5,2.0,3
1769,Media and content interaction,Color Contrast,advertisement,add,current ad section,8,8,8,4.0,4
1770,User account management,Layout,current button size,increase,current button size,6,6,6,3.0,3
1771,User account management,Layout,ranking text,increase,current button size,5,6,5,3.0,3
1772,User account management,Text Readability,separate background,choose,positioning use design software to ensure alignment,5,4,5,2.0,2
1774,Accessing and managing information,Text Readability,more readable font,increase,current button size,6,6,6,3.0,3
1775,Accessing and managing information,Usability of Buttons,ranking text,increase,separate background,7,6,7,3.0,3
1776,Location and Travel,Color Contrast,ranking text,change,text color contrast,6,6,6,3.0,3
1777,Location and Travel,Layout,current button size,increase,current button size,6,6,6,3.0,3
1778,Location and Travel,Text Readability,ranking text,increase,current button size,6,5,6,2.0,3
1779,Location and Travel,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1780,Location and Travel,Layout,more readable font,change,more readable font,7,7,7,3.0,4
1782,Exploration and Navigation,Layout,uniform font style to be use consistently,reduce,amount,7,7,7,3.0,4
1783,Accessing and managing information,Layout,cancel button,enlarge,cancel button,6,5,6,2.0,3
1784,Accessing and managing information,Usability of Buttons,breakfast icon,increase,separate background,5,5,5,3.0,3
1785,Accessing and managing information,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1786,Accessing and managing information,Layout,ranking text,uniform font style to be use consistently,text color contrast,7,7,7,4.0,3
1787,Accessing and managing information,Layout,headline,increase,length,7,7,7,4.0,4
1788,User account management,Usability of Buttons,ui,improve,clear and functional checkbox,7,7,7,3.0,4
1789,User account management,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,5,5,5,2.0,3
1790,User account management,Text Readability,button or icon allow user to see current location,increase,current button size,5,4,5,2.0,2
1791,Media and content interaction,Layout,breakfast icon,adjust,separate background,6,6,6,3.0,3
1792,Media and content interaction,Layout,breakfast icon,change,text color contrast,3,6,5,3.0,3
1793,Media and content interaction,Color Contrast,sign,change,text color contrast,5,6,5,3.0,3
1794,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1798,Location and Travel,Usability of Buttons,affordance,two label,button or icon allow user to see current location,6,6,6,3.0,3
1799,Location and Travel,Learnability,affordance,two label,separation line,6,5,6,3.0,3
1801,Location and Travel,Learnability,button or icon allow user to see current location,move,button or icon allow user to see current location,5,5,5,3.0,2
1804,Location and Travel,Layout,purpose and function,increase,current button size,5,5,5,3.0,2
1805,Location and Travel,Color Contrast,ranking text,uniform font style to be use consistently,ranking text,4,4,4,4.0,4
1806,Media and content interaction,Usability of Buttons,confusing layout and unclear navigation,make,designer,6,6,6,3.0,3
1807,Media and content interaction,Layout,ranking text,align,two label,5,6,5,3.0,3
1808,Media and content interaction,Learnability,positioning use design software to ensure alignment,uniform font style to be use consistently,Green,6,6,6,3.0,3
1815,Customization of app settings and preferences,Usability of Buttons,ranking text,change,text color contrast,6,6,6,3.0,3
1817,Customization of app settings and preferences,Layout,Gender setting,be,Gender setting,6,6,6,3.0,3
1819,Exploration and Navigation,Layout,breakfast icon,adjust,positioning use design software to ensure alignment,6,6,6,3.0,3
1820,Exploration and Navigation,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,text color contrast,7,7,7,4.0,4
1822,Media and content interaction,Text Readability,current button size,increase,current button size,6,5,6,2.0,3
1824,Media and content interaction,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
1826,Media and content interaction,Layout,positioning use design software to ensure alignment,add,space element,7,7,7,4.0,4
1829,Customization of app settings and preferences,Text Readability,ranking text,be,subscription message,5,4,5,2.0,2
1831,Exploration and Navigation,Learnability,two label,update,ranking text,6,6,6,3.0,3
1833,User account management,Usability of Buttons,ranking text,increase,separate background,7,7,7,3.0,4
1834,User account management,Usability of Buttons,button or icon allow user to see current location,be,Sign inbutton,6,6,6,3.0,3
1835,User account management,Text Readability,Change Log text,give,current button size,6,5,6,3.0,3
1836,User account management,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1838,User account management,Color Contrast,ranking text,increase,separate background,6,6,6,3.0,3
1840,Exploration and Navigation,Layout,unnecessarily large font,uniform font style to be use consistently,current button size,5,6,5,3.0,3
1841,Exploration and Navigation,Layout,section border,improve,placeholder image or alternative visual content,7,7,7,4.0,4
1845,User account management,Color Contrast,text field,adjust,consistent margin,4,4,4,2.0,2
1846,User account management,Layout,text field,increase,uneven padding,5,4,5,2.0,2
1848,Exploration and Navigation,Learnability,ranking text,increase,separate background,7,7,7,3.0,4
1849,Exploration and Navigation,Layout,button or icon allow user to see current location,add,space element,6,5,6,2.0,3
1851,Media and content interaction,Layout,separate background,change,text color contrast,5,5,5,2.0,3
1852,Media and content interaction,Layout,button or icon allow user to see current location,increase,separate background,6,6,6,3.0,3
1853,Media and content interaction,Layout,button or icon allow user to see current location,be,button or icon allow user to see current location,4,4,4,4.0,4
1855,Customization of app settings and preferences,Usability of Buttons,positioning use design software to ensure alignment,add,prominent Save button,6,6,6,3.0,3
1857,Customization of app settings and preferences,Color Contrast,ranking text,change,ranking text,7,7,7,4.0,3
1858,Customization of app settings and preferences,Text Readability,current button size,increase,current button size,5,5,5,2.0,3
1860,Media and content interaction,Color Contrast,current lack,reintroduce,separate background,4,4,4,2.0,2
1861,Accessing and managing information,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
1862,Accessing and managing information,Text Readability,more readable font,increase,current button size,8,8,8,4.0,4
1867,Exploration and Navigation,Color Contrast,heading,adjust,text color contrast,6,6,6,3.0,3
1869,Exploration and Navigation,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1870,Exploration and Navigation,Usability of Buttons,breakfast icon,change,breakfast icon,7,7,7,4.0,3
1871,Exploration and Navigation,Usability of Buttons,back arrow icon,change,text color contrast,6,7,6,4.0,4
1872,Exploration and Navigation,Color Contrast,separate background,choose,separate background,6,5,6,2.0,3
1873,Exploration and Navigation,Color Contrast,ranking text,uniform font style to be use consistently,text color contrast,5,5,5,3.0,2
1875,Accessing and managing information,Learnability,positioning use design software to ensure alignment,improve,clear and functional checkbox,7,7,7,4.0,3
1876,Accessing and managing information,Text Readability,absence,reintegrate,miss checkbox icon,5,5,5,3.0,2
1878,Exploration and Navigation,Color Contrast,breakfast icon,increase,breakfast icon,6,6,6,3.0,3
1879,Exploration and Navigation,Layout,head help,increase,current button size,4,6,5,3.0,3
1881,Location and Travel,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1884,Exploration and Navigation,Text Readability,current button size,increase,current button size,6,5,6,2.0,3
1885,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1886,Exploration and Navigation,Text Readability,ranking text,increase,ranking text,7,8,7,4.0,4
1887,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1889,Exploration and Navigation,Layout,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
1890,Exploration and Navigation,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1891,Exploration and Navigation,Layout,empty card,be,dark color scheme Bounding Box,7,7,7,4.0,3
1892,Exploration and Navigation,Usability of Buttons,ranking text,uniform font style to be use consistently,more readable font,7,7,7,4.0,3
1893,Exploration and Navigation,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1894,Exploration and Navigation,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
1895,Exploration and Navigation,Learnability,breakfast icon,change,breakfast icon,6,6,6,3.0,3
1896,Location and Travel,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,breakfast icon,3,4,3,2.0,2
1897,Location and Travel,Layout,spacing,make,spacing,6,6,6,3.0,3
1898,Location and Travel,Layout,space element,give,space element,5,4,5,2.0,2
1900,Exploration and Navigation,Layout,heading and text body,adjust,current button size,5,5,5,3.0,2
1902,Location and Travel,Usability of Buttons,positioning use design software to ensure alignment,tailor,positioning use design software to ensure alignment,6,6,6,3.0,3
1904,Location and Travel,Color Contrast,purpose and function,improve,purpose and function,5,5,5,3.0,2
1905,Media and content interaction,Layout,current button size,uniform font style to be use consistently,more readable font,5,5,5,3.0,2
1906,Media and content interaction,Layout,"more common language , such",reintegrate,current button size,6,6,6,3.0,3
1907,Media and content interaction,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1909,Customization of app settings and preferences,Layout,current button size,increase,current button size,5,5,5,3.0,2
1910,Customization of app settings and preferences,Usability of Buttons,taskbar,uniform font style to be use consistently,text color contrast,7,7,7,4.0,4
1911,Location and Travel,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1913,Location and Travel,Learnability,current button size,uniform font style to be use consistently,"more common language , such",6,6,6,3.0,3
1914,Location and Travel,Usability of Buttons,Users,change,two label,7,7,7,3.0,4
1917,User account management,Learnability,ranking text,make,ranking text,7,7,7,4.0,3
1918,User account management,Layout,more readable font,uniform font style to be use consistently,current button size,6,6,6,3.0,3
1920,Exploration and Navigation,Layout,prominently position back button,revise,positioning use design software to ensure alignment,6,6,6,3.0,3
1921,Exploration and Navigation,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,breakfast icon,3,4,3,2.0,2
1924,Customization of app settings and preferences,Color Contrast,positioning use design software to ensure alignment,increase,separate background,5,5,5,3.0,2
1925,Customization of app settings and preferences,Usability of Buttons,ranking text,increase,separate background,6,5,5,3.0,3
1926,User account management,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1928,Customization of app settings and preferences,Text Readability,separate background,choose,positioning use design software to ensure alignment,5,5,5,2.0,3
1930,Accessing and managing information,Layout,button or icon allow user to see current location,increase,current button size,6,6,6,3.0,3
1932,Media and content interaction,Learnability,text color contrast,reintegrate,user-friendly menu system,5,5,5,3.0,2
1934,Media and content interaction,Layout,highlighted section,add,placeholder image or alternative visual content,7,7,7,4.0,4
1935,Accessing and managing information,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1936,Accessing and managing information,Layout,ranking text,uniform font style to be use consistently,text color contrast,7,7,7,4.0,3
1940,User account management,Usability of Buttons,ranking text,increase,current button size,6,5,6,3.0,3
1941,User account management,Usability of Buttons,separate background,improve,legibility,5,5,5,3.0,2
1942,User account management,Layout,ranking text,increase,current button size,6,5,6,2.0,3
1944,User account management,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1945,User account management,Layout,menu option layout,offer,uneven padding,5,4,5,2.0,2
1946,User account management,Layout,purpose and function,align,purpose and function,5,5,5,3.0,3
1947,Media and content interaction,Color Contrast,uniform font style to be use consistently,change,text color contrast,6,6,6,3.0,3
1948,Media and content interaction,Text Readability,separate background,change,text color contrast,6,5,6,2.0,3
1953,Exploration and Navigation,Learnability,Coupons available,change,ranking text,7,7,7,3.0,4
1954,Exploration and Navigation,Usability of Buttons,absence,reintegrate,"more common language , such",5,5,5,3.0,2
1955,Exploration and Navigation,Layout,Coupons available,change,ranking text,7,7,7,4.0,3
1956,Media and content interaction,Usability of Buttons,ranking text,change,text color contrast,6,6,6,3.0,3
1957,Exploration and Navigation,Color Contrast,breakfast icon,change,breakfast icon,7,7,7,3.0,4
1958,Exploration and Navigation,Color Contrast,two label,be,two label,4,5,5,3.0,3
1959,Customization of app settings and preferences,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1960,Customization of app settings and preferences,Usability of Buttons,ranking text,increase,ranking text,5,7,6,3.0,4
1961,Customization of app settings and preferences,Layout,current button size,align,breakfast icon,4,5,5,2.0,3
1962,User account management,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1963,Exploration and Navigation,Color Contrast,heading,increase,separate background,6,6,6,3.0,3
1965,Exploration and Navigation,Layout,vibrant and eye-catch color,separation,vibrant and eye-catch color,4,4,4,2.0,2
1966,Exploration and Navigation,Layout,absence,add,button or icon allow user to see current location,6,6,6,3.0,3
1968,User account management,Color Contrast,vibrant and eye-catch color,relocate,vibrant and eye-catch color,3,4,3,2.0,2
1969,User account management,Text Readability,current button size,increase,current button size,6,5,6,2.0,3
1970,User account management,Usability of Buttons,color weight,update,text color contrast,4,4,4,2.0,2
1971,Exploration and Navigation,Layout,vibrant and eye-catch color,separation,vibrant and eye-catch color,4,4,4,2.0,2
1973,Exploration and Navigation,Layout,ranking text,change,color weight,5,5,6,3.0,3
1975,Media and content interaction,Usability of Buttons,purpose and function,omit,setting bar,6,6,7,3.0,3
1977,Accessing and managing information,Learnability,uniform font style to be use consistently,specify,"more common language , such",6,6,6,3.0,3
1979,Accessing and managing information,Layout,current lack,add,consistent margin,5,6,6,3.0,3
1981,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
1982,Media and content interaction,Text Readability,current button size,increase,current button size,5,4,5,2.0,2
1987,Exploration and Navigation,Color Contrast,separate background,choose,text color contrast,6,6,6,3.0,3
1988,Exploration and Navigation,Text Readability,text color contrast,change,text color contrast,6,6,6,3.0,3
1989,Customization of app settings and preferences,Usability of Buttons,ranking text,uniform font style to be use consistently,current button size,6,6,6,3.0,3
1990,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,improve,positioning use design software to ensure alignment,7,7,7,3.0,4
1991,Customization of app settings and preferences,Learnability,text and title,change,text and title,6,6,6,3.0,3
1993,Accessing and managing information,Text Readability,more readable font,uniform font style to be use consistently,large font size and more white space Bounding Box,8,8,8,4.0,4
1994,Exploration and Navigation,Layout,Search Icon size,increase,current button size,6,6,6,3.0,3
1995,Media and content interaction,Layout,highlighted section,treat,♫ Chicago Public Radio section,7,7,7,4.0,3
1998,Media and content interaction,Layout,purpose and function,align,"more common language , such",5,5,5,3.0,2
1999,Media and content interaction,Usability of Buttons,same font size / type / color weight,change,same font size / type / color weight,5,5,5,2.0,3
2000,Accessing and managing information,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
2001,Accessing and managing information,Color Contrast,ranking text,increase,current button size,6,6,6,3.0,3
2002,Accessing and managing information,Layout,login and logo,increase,current button size,5,4,5,2.0,2
2004,Exploration and Navigation,Layout,current ad section,remove,current ad section,5,6,5,3.0,3
2007,Exploration and Navigation,Layout,two label,change,systematic arrangement,3,4,4,2.0,2
2009,Customization of app settings and preferences,Layout,current button size,reduce,current button size,5,5,5,3.0,2
2010,Customization of app settings and preferences,Usability of Buttons,current lack,add,vibrant and eye-catch color,4,4,4,2.0,2
2012,Location and Travel,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2013,Location and Travel,Layout,purpose and function,increase,uneven padding,6,6,6,3.0,3
2016,Media and content interaction,Learnability,back arrow icon,add,two label,6,6,6,3.0,3
2018,Media and content interaction,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2019,Media and content interaction,Layout,purpose and function,align,purpose and function,8,8,8,4.0,4
2020,Media and content interaction,Layout,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,7,7,7,4.0,4
2022,Accessing and managing information,Layout,current button size,be,color weight,5,6,5,3.0,3
2023,Accessing and managing information,Layout,head general,increase,current button size,5,4,5,2.0,2
2026,Customization of app settings and preferences,Layout,separate background,increase,color weight,4,5,5,2.0,3
2028,Customization of app settings and preferences,Layout,current button size,increase,current button size,5,4,5,2.0,2
2029,Customization of app settings and preferences,Usability of Buttons,clear and functional checkbox,align,ranking text,6,6,6,3.0,3
2030,Customization of app settings and preferences,Layout,current button size,increase,current button size,6,5,6,2.0,3
2032,Accessing and managing information,Layout,+ button,increase,uneven padding,3,4,3,2.0,2
2034,Accessing and managing information,Color Contrast,current button size,uniform font style to be use consistently,"more common language , such",6,6,6,3.0,3
2035,Accessing and managing information,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2036,Exploration and Navigation,Learnability,ranking text,increase,separate background,7,7,7,4.0,3
2038,User account management,Color Contrast,positioning use design software to ensure alignment,prioritize,"more common language , such",5,5,5,3.0,2
2040,User account management,Color Contrast,current button size,increase,current button size,5,5,5,3.0,3
2041,Exploration and Navigation,Usability of Buttons,current lack,improve,separate background,4,4,4,2.0,2
2042,Exploration and Navigation,Layout,uniform font style to be use consistently,replace,unnecessarily large font,6,6,6,3.0,3
2044,Media and content interaction,Layout,tv Providers button,improve,legibility,3,4,3,2.0,2
2047,Exploration and Navigation,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
2048,Accessing and managing information,Usability of Buttons,purpose and function,reintroduce,next,6,6,6,3.0,3
2049,Accessing and managing information,Layout,purpose and function,align,purpose and function,5,5,5,3.0,3
2050,User account management,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,appropriate icon clearly represent function,5,5,5,3.0,2
2052,User account management,Text Readability,text color contrast,change,text color contrast,6,6,6,3.0,3
2055,Location and Travel,Layout,text color contrast,uniform font style to be use consistently,consistent style,7,7,7,3.0,4
2056,Media and content interaction,Usability of Buttons,breakfast icon,reintegrate,breakfast icon,4,4,4,2.0,2
2058,Media and content interaction,Layout,ranking text,align,ranking text,7,7,7,4.0,4
2059,Accessing and managing information,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
2060,Accessing and managing information,Layout,positioning use design software to ensure alignment,clean,positioning use design software to ensure alignment,7,7,7,4.0,3
2062,Accessing and managing information,Layout,breakfast icon,increase,current button size,6,6,6,3.0,3
2063,Accessing and managing information,Usability of Buttons,vibrant and eye-catch color,adjust,current button size,6,6,6,3.0,3
2066,Accessing and managing information,Layout,breakfast icon,increase,current button size,5,6,6,3.0,3
2067,Accessing and managing information,Learnability,breakfast icon,adjust,text color contrast,7,7,7,3.0,3
2068,Location and Travel,Layout,ranking text,increase,current button size,3,4,3,2.0,2
2069,Location and Travel,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
2071,Media and content interaction,Layout,facebook app,increase,current button size,6,5,6,2.0,3
2072,Media and content interaction,Layout,breakfast icon,add,space element,6,7,6,3.0,4
2073,Media and content interaction,Layout,systematic arrangement,be,t,6,6,6,3.0,3
2076,Exploration and Navigation,Text Readability,ranking text,give,placeholder image or alternative visual content,6,5,6,3.0,3
2078,Customization of app settings and preferences,Learnability,purpose and function,add,ranking text,4,4,4,2.0,2
2080,Exploration and Navigation,Layout,breakfast icon,increase,separate background,5,6,5,3.0,3
2083,Media and content interaction,Layout,positioning use design software to ensure alignment,uniform font style to be use consistently,space element,7,7,7,3.0,4
2086,Media and content interaction,Color Contrast,back arrow icon,remove,back arrow icon,7,7,7,4.0,3
2087,Media and content interaction,Color Contrast,breakfast icon,adjust,text color contrast,7,7,7,3.0,4
2088,Media and content interaction,Layout,button or icon allow user to see current location,keep,consistent margin,4,5,5,2.0,3
2089,Media and content interaction,Layout,uniform font style to be use consistently,reduce,amount,7,7,7,3.0,4
2090,Media and content interaction,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
2091,Media and content interaction,Learnability,ranking text,offer,information,5,4,5,2.0,2
2092,Accessing and managing information,Layout,"more common language , such",utilize,leave alignment,5,5,5,3.0,2
2093,Accessing and managing information,Usability of Buttons,advertisement,adjust,systematic arrangement,5,5,5,3.0,2
2095,Exploration and Navigation,Color Contrast,ranking text,increase,separate background,7,7,7,4.0,3
2096,Accessing and managing information,Color Contrast,breakfast icon,increase,separate background,6,6,6,3.0,3
2097,Media and content interaction,Text Readability,information,organize,information,8,8,8,4.0,4
2098,Customization of app settings and preferences,Text Readability,uniform font style to be use consistently,change,text color contrast,6,6,6,3.0,3
2102,Exploration and Navigation,Layout,purpose and function,apply,grid or baseline,5,6,5,3.0,3
2104,Exploration and Navigation,Layout,current lack,leave alignment,space element,6,6,6,3.0,3
2106,Exploration and Navigation,Layout,header and sub header,create button,clear layout and intuitive navigation,4,4,4,2.0,2
2108,Customization of app settings and preferences,Color Contrast,yellow switch,change,text color contrast,6,7,6,3.0,4
2110,Accessing and managing information,Layout,stand highlight,enlarge,button or icon allow user to see current location,5,4,5,2.0,2
2113,Accessing and managing information,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
2115,Accessing and managing information,Layout,text color contrast,uniform font style to be use consistently,text color contrast,7,6,6,3.0,3
2116,Accessing and managing information,Layout,purpose and function,reintroduce,consistent margin,4,4,4,2.0,2
2118,Accessing and managing information,Layout,poor color contrast,choose,dark color scheme Bounding Box,8,7,7,4.0,4
2119,Accessing and managing information,Usability of Buttons,current button size,increase,current button size,6,6,6,3.0,3
2121,Accessing and managing information,Color Contrast,text color contrast,change,text color contrast,3,4,4,2.0,2
2122,User account management,Color Contrast,setting bar,change,text color contrast,6,6,6,3.0,3
2123,User account management,Layout,positioning use design software to ensure alignment,identify,miss checkbox icon,4,4,4,2.0,2
2124,User account management,Layout,"more common language , such",give,similar graphic treatment,6,6,6,3.0,3
