id,task,verb,obj
1497,Check the wta champion double standing for ranking,check,wta
1498,Check race to the wta championship standing ranking,check,race
1499,Check ranking for wta double championship,check,championship
1500,Explore the men tenni quarterfinal result,explore,man
1501,View result for the man ’s single quarterfinal and man ’s double quarterfinal,result,man
1502,View completed match,complete,
1503,Enter your credential to log in,enter,credential
1504,Enter detail to log in,enter,detail
1505,Enter username and password for login,enter,
1506,Review the rule or help section,review,rule
1507,Read the rule or help page,read,rule
1508,Read rule or help related information,read,rule
1509,Choose a phone number to continue,choose,phone
1510,Click on continue to proceed,,
1511,Select phone number from the given option,,
1512,Input criterion to search recipe,,
1513,Browse our recipe,browse,recipe
1514,Search for recipe by typing or by image or voice,search,recipe
1515,View or track air traffic,,
1516,Zoom in to view the specific part of the map,,
1517,Find the location on the map,find,map
1518,Recover the username or password or browse through other option under help,recover,password
1519,Read about faq for help,read,faq
1520,View the help page to login or register,,
1521,Add your name and photo to connect with friend,add,photo
1522,Add photo and name detail then click on the done button,add,photo
1523,Add your name and pres done,add,name
1524,Access your personal history or shared prayer,access,prayer
1525,View personal history of laura lee,view,laura
1526,Manage your profile,manage,profile
1527,Search friend check message and official account,check,message
1528,Set your profile or check official account,set,profile
1529,View or manage the online chat,manage,chat
1530,Save your comic title using the save button,save,title
1531,Enter the title for your comic book and save it,enter,title
1532,Enter and save a title for the comic,save,title
1533,Click on the get started button or log in button,start,button
1534,Click get started to proceed to the next page on onboarding screen,,
1535,Click to get started or log in the app,,
1536,Manage the setting of speech language,manage,speech
1537,Manage setting for search,,
1538,Manage setting,,
1539,Add note to confirm or cancel when creating or editing a period,add,
1540,Create or edit period,,
1541,Create or edit period tracking,,
1542,Adjust and manage weather notification setting,manage,weather
1543,Set your preference for weather notification,set,preference
1544,Manage weather notification,manage,weather
1545,Use current location or add a new location,use,location
1546,Select or add a location,add,location
1547,Choose a location,choose,location
1548,Manage weather notification setting,manage,weather
1549,Manage weather notification,manage,weather
1550,Manage option regarding weather notification,,
1551,Click to download flashcard,download,flashcard
1552,Explore or view flashcard or vocabulary,view,flashcard
1553,Download the flashcard,download,flashcard
1554,Click to invite friend to share about the circle,invite,friend
1555,Copy the code to send it to your friend,copy,code
1556,Invite your friend,invite,friend
1557,View and manage setting,,
1558,Adjust setting,,
1559,Manage setting menu,set,menu
1560,Click to read disclaimer information on antipodal earthquake watch,,
1561,Click the ok button or check the checkbox to dismiss the pop - up banner permanently,check,checkbox
1562,Read the disclaimer,read,disclaimer
1563,Click the icon to log in with facebook or google,,
1564,Login using available option,,
1565,Login using available option,,
1566,Click on the join button to book a bu ticket or login,,
1567,Join or login on easy booking,login,booking
1568,Join or login to book a bu,book,bu
1569,Join to track bu live location and share with friend,track,share
1570,Click join or login to track real - time bu location and share with friend and family,,
1571,Join to track location of your bu,track,bu
1572,Add item in ingredient list to greek salad recipe,add,item
1573,Include an ingredient in greek salad,include,ingredient
1574,Add a salad to the list,add,salad
1575,Play a game of memory grid,play,grid
1576,Play memory grid game is in level 1,,
1577,Show memory grid,show,grid
1578,Select to explore food,,
1579,Select any option to know more,select,option
1580,Checkout the culinary recipe for baked item,checkout,recipe
1581,Expand the functionality by adding a new feature,expand,functionality
1582,Upgrade the ear spy app with new feature or purchase the ear spy pro version,upgrade,ear
1583,Select to add the premium feature,,
1584,Create gamer i d to sign in,create,gamer
1585,Create your gamer i d to sign in,create,gamer
1586,Create gamer i d and sign in to playsrore,create,gamer
1587,Enter personal detail to sign up,enter,detail
1588,Enter detail to sign up,enter,detail
1589,Enter detail to sign up,enter,detail
1590,Select now playing from the menu,play,menu
1591,Please tap the now playing button to tune in to bradio,play,button
1592,View sidebar menu for bradio,,
1593,Find out about the store nearby,find,store
1594,View and explore about store,explore,
1595,Check the closest store,check,store
1596,View or explore flight stat,explore,stat
1597,Track flight search check airport condition or view recent flight search,,
1598,View the homepage of flightstat,view,homepage
1599,Browse catalogue to add in the cart,browse,catalogue
1600,Browse the product by filter and sorting,browse,product
1601,Choose product from the catalogue and proceed,choose,catalogue
1602,Explore and manage your notification setting,manage,notification
1603,Manage notification setting,manage,notification
1604,Manage setting for notification,,
1605,Tap to set call recording preference,,
1606,Manage your preference in the setting,manage,preference
1607,Manage setting for call recorder,,
1608,Click the button to sign in or sign up,,
1609,Sign in or sign up for talktone,,
1610,Sign in or sign up for talkatone app,,
1611,Manage the setting option,manage,setting
1612,View and manage setting of app,manage,app
1613,Manage or view setting for the app,,
1614,Explore bank email and call detail,,
1615,View contact detail of first national bank,view,national
1616,Contact support via email and call,,
1617,Read information about sequential,read,information
1618,View reading plan for the first fifty chapter of the bible,read,plan
1619,View the sequential,view,
1620,After entering your detail proceed by clicking the register,,
1621,Register with entered detail or by facebook or google+,register,detail
1622,Register to the account,register,account
1623,Tap take test to start the test,take,test
1624,Read the instruction,read,instruction
1625,Read or view instruction for taking the test,view,test
1626,Select headset from the below listed option,,
1627,Select a headset from a list,select,headset
1628,Select a headset from a list,select,headset
1629,Enter your credential to sign up,enter,credential
1630,Enter the detail then click sign up to complete the signup proces,enter,detail
1631,Sign up for a new account,sign,account
1632,Select an app from the home screen to explore,select,screen
1633,View the available app,view,app
1634,Explore the home screen,explore,screen
1635,Search or scan product,,
1636,Select the type of bread,select,bread
1637,Select bread type,,
1638,Login or sign up to viggle account to earn perk point and redeem it for gift card cash etc,viggle,account
1639,Log in or sign up to proceed,,
1640,Welcome to viggle,,
1641,Click check update to check or update the latest app version,,
1642,Click check update or close or select do not show this again,show,
1643,Click button to update or close the notice,,
1644,Search and filter the item to save,filter,item
1645,View list of product under today special,,
1646,Shop now product,,
1647,Select an option to explore under watch category,select,watch
1648,Explore selected option from the menu section,explore,section
1649,Watch and select the show,select,show
1650,Browse and select product to shop online,,
1651,Review the option available in the shop section or switch to alternative selection,review,shop
1652,Select an option to explore,select,option
1653,Find or view player name within the projection section,view,player
1654,View current projection and search player,view,projection
1655,Search player name using projection,,
1656,Check out the ownership projection related information and explore footer containing menu option,check,projection
1657,View and explore project ownership,explore,project
1658,Check the ownership table,check,table
1659,Select an option to explore,select,option
1660,View lineup for salary change,view,salary
1661,Analyze salary change,,
1662,View the lineup,view,lineup
1663,View the generated or saved lineup,,
1664,Manage and look into the lineup that are saved and generated,look,lineup
1665,Select an apartment decorating idea from the below listed gallery or article,select,idea
1666,Select an option to read or explore about apartment decorating idea,select,idea
1667,View apartment decorating idea,,
1668,Choose a contact from friend list and invite to earn free coin,choose,contact
1669,Send invitation to your friend and get free coin for every registration,send,invitation
1670,Invite friend to get free coin,invite,friend
1671,Select a category from all category list,select,category
1672,View or choose from all category,choose,category
1673,Select category from a list of category,,
1674,Read the verse and explore pop - up option,read,verse
1675,Select an option to explore,select,option
1676,View todays bible verse,,
1677,Enter your addres or landmark to find your location,enter,landmark
1678,Select location by searching,,
1679,Select or search location,,
1680,Select a video to learn about it,select,video
1681,Choose from the topic to learn,choose,topic
1682,Choose any topic and start learning,choose,topic
1683,Manage activation of google fit,,
1684,Activate or deactivate google fit by using the switch,,
1685,Tap the toggle to activate the google fit integration,Tap,toggle
1686,Tap to create account to track your golf game,,
1687,Click the button to create or log in to an account,,
1688,Choose to create an account or log in,create,account
1689,Explore available option,explore,option
1690,Explore the available option,explore,option
1691,Proceed with the option of last 50 round all course,proceed,round
1692,Manage or track your golf game,track,golf
1693,View san francisco golf club scorecard,view,scorecard
1694,Check the san francisco golf club score,check,golf
1695,Login with email and password to my hr,login,password
1696,Click on login to proceed,,
1697,Login to my hr account,login,hr
1698,Explore side bar menu option,,
1699,View advice beta from bp diary,view,advice
1700,Select the option from side menu bar of bp diary,select,bp
1701,Explore information about bodycal,explore,information
1702,Read about bodycal,read,
1703,Check the information about bodycal,check,information
1704,Click on login with facebook or email to login,,
1705,Login with facebook or an email to proceed,login,facebook
1706,Select option to login to my child app,,
1707,Select an option to read about,select,option
1708,Choose preferred genre to start reading,choose,genre
1709,Select your favorite story and start reading,select,story
1710,Browse and select to read book,read,book
1711,Click next for proceed with selected option,,
1712,Browse the book,browse,book
1713,Check out the welcome screen and explore app feature by clicking the continue button,check,screen
1714,Click continue to proceed to the next page on onboarding screen,,
1715,Onboard now in file commander,,
1716,Explore a list of country with their corresponding code,explore,country
1717,Search country name by typing,,
1718,Search country by name or code,,
1719,Check flight price between delhi - mumbai for 29th dec 30th and 31st dec,check,price
1720,View flight price for delhi - mumbai on 29 dec or 30 - 31 dec,view,price
1721,Show me the result of flight ticket,show,ticket
1722,Tune in to uk life podcast,,
1723,Keep listening to the podcast or pause,,
1724,Listen and read uk life podcast,read,uk
1725,Choose from the available option for wifi auto connection setting,choose,auto
1726,Confirm the setting of wifi auto connection,confirm,auto
1727,Confirm or cancel your setting,cancel,setting
1728,Invite a friend using their hi number to earn credit,invite,hi
1729,View credit or enter number to earn credit,enter,number
1730,Check credit score,check,credit
1731,Enter email to proceed to next page,enter,email
1732,Enter required detail to proceed to next page,require,detail
1733,Login into your account to start banking,login,account
1734,Explore information about workout and check monthly and yearly subscription plan,explore,workout
1735,Select the monthly or yearly option to upgrade,select,option
1736,Track progres,,
1737,Explore the help and feedback related information,explore,help
1738,Explore the option under help and feedback,explore,help
1739,Select an option to explore,select,option
1740,Allow or deny permission request for crawler,deny,crawler
1741,Pres deny or allow to proceed,,
1742,Allow or deny to access your datum,access,datum
1743,View or track kid growth chart,,
1744,Click to update or view more,,
1745,Check the growth status of the baby,check,growth
1746,Explore our video playlist,explore,playlist
1747,Check video list or add video,check,video
1748,Add video to list,add,video
1749,Track previous operation of carista,track,carista
1750,View the completion progres of previous operation,view,completion
1751,View status of operation completion,view,operation
1752,Explore the menu option in the icd-10 app,explore,menu
1753,Explore selected option from the menu,explore,menu
1754,Explore the menu option for icd 10 - free,explore,icd
1755,Follow recipe book on social medium platform,follow,platform
1756,Follow the recipe book on the available app or read the privacy policy,follow,recipe
1757,Follow us on social medium for more content,follow,
1758,Explore the menu option,explore,menu
1759,Select a menu option to explore,,
1760,View option for the penn state sport,,
1761,Review transaction detail,review,transaction
1762,Add transaction into the home list,add,transaction
1763,Open the home page and show today transaction,open,home
1764,View transferred amount detail,transfer,amount
1765,Enter detail and click ok to transfer money,enter,detail
1766,Enter the amount to transfer,enter,amount
1767,Click to start creating design,create,
1768,To initiate the design creation proces simply click on the plus sign icon,,
1769,Create a new design,create,design
1770,Enter the email and password then sign in or click forgot password,enter,password
1771,Enter email i d and password to sign in,enter,email
1772,Enter detail to sing in,enter,detail
1773,View the weather forecast for roosevelt island ny or choose another location,choose,location
1774,View the weather condition for roosevelt island,view,roosevelt
1775,View current weather condition,view,condition
1776,"Manage or track your travelling duration , distance and speed",track,duration
1777,View speed and average speed by clicking the stop or lap button,,
1778,Check speed or pace,check,pace
1779,Tap start to measure duration distance and calculate speed and average speed,measure,duration
1780,Click the start button to use gp,,
1781,Start tracking distance,track,distance
1782,Choose your preferred payment option,choose,payment
1783,Click on the save button to add the bill,,
1784,Split bill amongst friend and group,,
1785,Click to start a new group to manage expense,start,group
1786,Click to start a new group,start,group
1787,Start a new group and check total balance,start,group
1788,Enter the personal information as input,enter,information
1789,Enter the detail and click done button to save my info,enter,detail
1790,Enter detail to update my info,enter,detail
1791,Read about the alteration school of magic,read,magic
1792,Read about alteration ( skyrim ),Read,alteration
1793,Read about alteration of elder scroll,Read,scroll
1794,Explore playlist,,
1795,Choose one from the list of option,choose,list
1796,Explore playlist,,
1797,View the saved stop or switch to other option,switch,option
1798,View saved stop,save,
1799,Manage or view transit track,view,transit
1800,Search stop nearby on the map or reload the page,stop,page
1801,Explore and manage transit track,manage,transit
1802,Track the location,track,location
1803,Explore the feature of transit track,explore,transit
1804,Search stop nearby on the map,stop,map
1805,Search for nearby stop using transit track,search,transit
1806,Click to save or delete note,,
1807,Add note after entering a title,add,
1808,Create and manage note,manage,
1809,Calculate your love compatibility,calculate,compatibility
1810,Calculate your love compatibility,calculate,compatibility
1811,View result of a love compatibility,,
1812,Set your preference for setting,set,preference
1813,Accept or decline end user license agreement,,
1814,Accept or decline the term of the end user license agreement,decline,end
1815,Manage facebook setting,,
1816,Explore setting or sign out by clicking the button,,
1817,Manage setting,,
1818,Explore side bar menu option,,
1819,Select an option from the menu,select,menu
1820,Choose an option from the option list,choose,list
1821,Search video to view or download it,,
1822,Search for video on flashflick,search,video
1823,Search video on videobashcom,,
1824,Listen about the top 50 scanner or search for them,listen,scanner
1825,Explore and listen about top 50 scanner radio,listen,scanner
1826,Listen to live police and fire scanner broadcast,,
1827,View and explore the alert you have currently configured,explore,alert
1828,Search and view the alert configuration,view,configuration
1829,Check configured alert,check,alert
1830,Click on the below listed option to explore,,
1831,Select an option to view,select,option
1832,Explore further detail by clicking button,explore,detail
1833,Click the button to subscribe,,
1834,Pay the amount to subscribe monthly to get acces to content,pay,amount
1835,Subscribe or sing in to manchester united tv,,
1836,Tap continue with facebook or sign up with email to earn point,continue,
1837,Continue with facebook or sign up with email to earn point,continue,
1838,Sign - up and login for earn point,,
1839,Select a hunting call sound to attract animal or bird,select,call
1840,View audio option for predator app,view,predator
1841,Select the option from list,select,list
1842,Edit account profile and manage various feature of the app,,
1843,Manage user account dashboard,manage,dashboard
1844,Adjust setting of my account,adjust,account
1845,Enter detail to login,enter,detail
1846,Enter the detail and then click the log in button to proceed with the login,enter,detail
1847,Enter email i d to login,enter,email
1848,Select the option to delete item,select,item
1849,Please choose the option for shredding,choose,option
1850,Start shredding by selecting one of the option,,
1851,Listen to track or return,,
1852,Play an audio from list of track,play,audio
1853,Play the album from tracklist,play,album
1854,Manage alert notification,manage,alert
1855,Manage alert,,
1856,Manage alert,,
1857,Manage your setting option,manage,setting
1858,Manage option within setting,manage,option
1859,Change setting,,
1860,Read about chamomile plant and share or edit it,read,plant
1861,Explore information about chamomile,explore,chamomile
1862,Flower - chamomile,,
1863,Search for rental car by location and date,search,car
1864,Search car available for the entered pick up and drop location,,
1865,Search car for pick up and drop,,
1866,Manage the support option,manage,support
1867,Select an option from support menu for the uber app,select,uber
1868,Select an option from the support list,select,support
1869,Explore menu option to place order,,
1870,Explore the food menu at java house westland,explore,food
1871,View menu for java house westland,,
1872,Browse through and select the option,select,option
1873,Select an option from the menu to explore,select,menu
1874,View account detail,view,account
1875,Contact our customer service or follow us for helpful resource,contact,customer
1876,Contact and connect with pnc,,
1877,Select from the option and explore,,
1878,Explore available option,explore,option
1879,View the option under help,view,option
1880,Select option from help menu,,
1881,Choose option to plan your ride,choose,ride
1882,Select an option from the menu to explore,select,menu
1883,View sidebar list of la metro,,
1884,Click next to prepare the gizmo,,
1885,Read the step to prepare your gizmo and tap on next to proceed,read,step
1886,Read instruction to prepare your gizmo,Read,instruction
1887,Select an option to explore,select,option
1888,Select an option from nclex mastery to explore,select,mastery
1889,Choose the mastery option,choose,mastery
1890,Select entree item from below list and add to cart,select,item
1891,Select a fried chicken entree option,select,chicken
1892,Choose the favorite side from the menu,choose,side
1893,Select and add item from menu to cart,add,item
1894,Browse through the menu option available at hardee,browse,hardee
1895,Explore the menu of the product,explore,product
1896,Search and filter city location on the map,,
1897,View property via city or state or zip,view,property
1898,Check property or bed,check,bed
1899,Search read available faq to get help or ask a new one,read,faq
1900,Explore frequently asked question,ask,question
1901,View faq page of spicy app,view,spicy
1902,Add location,add,location
1903,Add current location to proceed,add,location
1904,Set home location,set,home
1905,Select an option for the feedback,select,feedback
1906,Select an option to give feedback,select,feedback
1907,Select an option to submit feedback,select,feedback
1908,Manage the setting(feature ),manage,setting(feature
1909,Manage notification and other setting,manage,notification
1910,Manage setting,,
1911,Explore to plan or book your travel package,,
1912,Explore the travel app and also check some recommended hotel,explore,travel
1913,Create a booking,create,booking
1914,Search hotel by enter your detail below,enter,detail
1915,Enter input to search hotel,enter,input
1916,Enter destination to search hotel,enter,destination
1917,Tap join wear to follow our favorite,follow,
1918,Click on the join wear button to proceed,wear,button
1919,Follow suggested user and join wear,suggest,user
1920,Enter the brand name if your brand is not listed below,enter,brand
1921,Find the brand name from the list or enter a new brand name,find,brand
1922,Select a brand name from list,select,brand
1923,Enable permission to access your camera and microphone,,
1924,Enable the permission for camera and microphone,enable,microphone
1925,Allow camera and microphone permission,allow,microphone
1926,Click on log in to access additional setting,,
1927,Manage the setting,manage,setting
1928,Manage setting,,
1929,Choose your action for the pregnancy rating : save remove or close,choose,pregnancy
1930,Save or remove option within the pregnancy app or simply close the app,remove,option
1931,Pregnancy level checker,,
1932,Learn the c++ tutorial with some shortcut trick,learn,tutorial
1933,Take a shortcut for basic concept or conditional and datum type in c++,take,concept
1934,Choose and track tutorial,track,tutorial
1935,View or explore custom search,explore,custom
1936,Explore or view saved search,save,search
1937,Review the search result,review,result
1938,Enter detail to login or enable single sign - on,enter,detail
1939,Enter username and password to login,enter,password
1940,Enter detail to login,enter,detail
1941,Sign in with amazon or sign in with comixology or create an amazon account,,
1942,Sign in with amazon or comixology or create a new amazon account,,
1943,Click the button to sign in to your account,,
1944,Sign in to view your purchased book,,
1945,Tap the sign in button to acces purchased book,Tap,sign
1946,Sign in to the account,,
1947,Click to download the bdb hebrew lexicon ebook,hebrew,lexicon
1948,Click the download button to download the bdb hebrew lexicon ebook or click the cros button to cancel,,
1949,Download the information about bdb,download,bdb
1950,Explore best seller product,explore,seller
1951,Select best seller from list of seller,,
1952,Select the best seller product,select,seller
1953,Browse coupon,,
1954,Search and review expired coupon or check unused or used coupon,expire,coupon
1955,Check coupon,check,coupon
1956,Select all photo to upload,select,photo
1957,Select image from the gallery,,
1958,View and select photo from photo gallery,,
1959,Manage the current sync setting,,
1960,View or manage the option available,,
1961,Manage synchronizing setting and view information,manage,setting
1962,Sign in to explore featured course,,
1963,View featured course for learn,feature,course
1964,Explore the course,explore,course
1965,Explore available feature related to hypoparathyroidism,explore,hypoparathyroidism
1966,Select an option to explore,select,option
1967,Check information about hypoparathyroidism,check,hypoparathyroidism
1968,Enter detail to retry login or create an account to access my itriage,enter,detail
1969,Enter the login detail or create a new account to access my itriangle,enter,login
1970,Login to itriage or create an account,,
1971,Explore itriage condition and its feature option,explore,itriage
1972,Select an option to explore,select,option
1973,Explore the option on alcoholism app,explore,alcoholism
1974,Select an option from the list to answer,select,list
1975,Choose the correct option for the question,choose,question
1976,Select the answer from the list,select,answer
1977,View tide schedule for month of june,view,tide
1978,View or edit schedule for the month of june 2017,,
1979,View the tide schedule,view,tide
1980,Search and play music,play,music
1981,Discover the available feature within the music player app,discover,player
1982,Play or pause music on the music player,,
1983,Explore the available option,explore,option
1984,Discover the menu bar option,discover,bar
1985,View or manage your learning menu,manage,learning
1986,Select the girl from the given four option,select,girl
1987,Choose an option and tap check to confirm,choose,tap
1988,Select the correct option,select,option
1989,Select an option from the option and click next,select,option
1990,Select the preferred unit,select,unit
1991,Click the button to select measurement unit,,
1992,View status from whatsfake,view,status
1993,View whatsfake status,,
1994,Select to explore radio station,explore,station
1995,Download the ad and check download status,download,ad
1996,Select the radio from the list,select,radio
1997,Read information of chapter 2,read,chapter
1998,Read chapter 2 of the story,read,chapter
1999,Read phrase in chapter 2,read,phrase
2000,View football game score for patriot and falcon,view,patriot
2001,View and explore score of super bowl,explore,bowl
2002,Check score or team,check,team
2003,Click on search music explore music or check the trending music,explore,music
2004,Choose from the option shown to proceed,choose,option
2005,Click to explore the option,explore,option
2006,Explore your favorite directory or browse the default directory for music in my file,explore,directory
2007,View internal memory of default directory,view,default
2008,Manage favorite and default directory,,
2009,Click deactivate and start shaking your phone to skip to the next song,shake,phone
2010,Deactivate the setting of the phone or click on calibrate button to measure range,,
2011,Deactivate shake option for the phone when it is in the pocket,,
2012,Find or discover emergency shelter nearby,discover,emergency
2013,Check shelter availability and view some related information,check,shelter
2014,Select a shelter,,
2015,Click hint to get a helpful tip,,
2016,Attempt the question from the ga dd practice test 1,attempt,dd
2017,Choose the correct option in the ga dd practice test,choose,dd
2018,Read noel park wikipedia article,read,noel
2019,Explore the wikipedia article,explore,wikipedia
2020,Explore the information on wikipedia about different place,explore,wikipedia
2021,View request detail,view,request
2022,View request detail for brand dual usb wall charger,view,wall
2023,View detail of brand dual usb charger,view,usb
2024,Manage your setting,manage,setting
2025,View and manage setting,,
2026,Set your preference for playbar and ad - blocker,set,playbar
2027,Click install to apply the theme,,
2028,Click the install button to install hola,,
2029,Install a new theme of hola,install,hola
2030,Customize the setting option,customize,setting
2031,Manage setting for news and weather alert,,
2032,Check and create shopping list,create,shopping
2033,Tap the plus button to add item to the shopping list in the grocery king app,Tap,button
2034,Add item to the shopping list,add,item
2035,Read information about traffickcam,read,traffickcam
2036,Explore about traffickcam,explore,traffickcam
2037,View about traffickcam app,view,traffickcam
2038,Enter the refer i d of sponsor and click on submit to earn cash or contact sponsor for facing any problem ?,enter,refer
2039,Enter the i d of the sponsor on champ cash,enter,champ
2040,Enter refer i d of sponsor for earn,refer,sponsor
2041,Explore different exercise,explore,exercise
2042,Select to view exercise,view,
2043,Choose the workout object for exercise,choose,object
2044,Watch ver tv online and read some related information,,
2045,Read the information on assistir filme online,read,information
2046,Read about ver tv,Read,tv
2047,Manage the option within the gismeteo application,manage,gismeteo
2048,Select input for weather information,,
2049,View weather detail,view,weather
2050,Enter detail and save it for the account,enter,detail
2051,Change the password of account,change,password
2052,Set gmail password,,
2053,Enter bank name to search,enter,bank
2054,Search a bank from the list or click here for more related info,search,bank
2055,Search your bank name,search,bank
2056,Select the language from the list of language,select,language
2057,Select a language to learn from a list,select,language
2058,Select the language,select,language
2059,View rack score detail,rack,score
2060,Click add abnormal point to proceed,add,point
2061,Add abnormal point,add,point
2062,View form document or add new document,,
2063,View and add document,add,document
2064,View document list,view,document
2065,Explore a wildlife prepare menu,prepare,menu
2066,Prepare for wildfire,prepare,wildfire
2067,View information on how to prepare for a wildfire,,
2068,Enter detail and click on retrieve a booking button,enter,detail
2069,Enter required detail to check - in,require,detail
2070,Enter a booking reference and last name,enter,reference
2071,Read out the bbc news app for the article on trump criticism of the me medium at his 100 - day rally,read,bbc
2072,Read article on bbc news app,,
2073,Read news article from different source,Read,source
2074,Swipe left to next page on onboarding screen,leave,page
2075,Swipe left to continue with chargehub,,
2076,Explore the welcome page of chargehub,explore,chargehub
2077,View bookmark from a file,bookmark,file
2078,Check the progres of app package installation,check,package
2079,Check the installation status,check,installation
2080,Search toy item and add them to the cart to buy,add,
2081,View toy deal on costume and dress up,,
2082,Select the product category and explore,select,category
2083,Browse or choose sticker to share,choose,sticker
2084,Select sticker to share,,
2085,Choose sticker to share,,
2086,Review vocabulary,,
2087,Translate the umbrella in japanese,translate,umbrella
2088,View vocabulary for accessory,,
2089,Click start match to begin the game,,
2090,Click the start match button to begin the match,,
2091,Click to start match,,
2092,Explore and manage penny stock,manage,penny
2093,View about penny stock,view,penny
2094,View penny stock home page,view,penny
2095,Explore adventure of the black fisherman book detail,,
2096,View information about a book titled the adventure of the black fisherman,,
2097,Adventure of the black fisherman,,
2098,Click to set prayer time,set,prayer
2099,Check today scheduled prayer notification or discover more option,schedule,prayer
2100,Select option for religious activity,,
2101,Explore the list option based on your preference,explore,list
2102,Explore or read about different type of deer or switch to other animal specie,read,specie
2103,View and read more about hunting call,read,
2104,Explore option given under the more section,,
2105,Discover the available option within the more section,discover,section
2106,Manage more option,manage,option
2107,Select an option to manage or explore,select,option
2108,Manage setting for the app,,
2109,Enable or disable the setting of mirror mode or high resolution,,
2110,Review the workout result for the year or switch to view monthly or other interval,review,year
2111,Log a workout for cardio or strength,log,cardio
2112,View result of workout,,
2113,Input datum to calculate fraction,,
2114,Perform calculation,perform,calculation
2115,Start calculating,,
2116,Check game status and explore the other available option,check,status
2117,View the sidebar menu for ncaa football,view,ncaa
2118,Manage detail about football game,manage,football
2119,View trashed item,trash,item
2120,Browse through the option in the trash section,browse,trash
2121,View the item in trash,view,item
2122,Click to view the follower list or switch to other option under my profile,view,follower
2123,View profile and check follower,check,follower
2124,View or manage your profile,manage,profile
2125,Pinned the location from where the sound was recorded,pin,location
2126,Pin the recording location then proceed with next or go back as needed,proceed,
2127,Proceed with the location where sound was recorded,proceed,sound
2128,View your profile,view,profile
2129,View my profile,view,profile
2130,Check or edit profile detail,,
2131,Click to sign in or subscribe for rating,,
2132,View price and shop for apple imac,,
2133,Sign in or subscribe for rating,,
2134,Select option from below list or input search criterion to browse on armorfly,,
2135,Browse thing from armorfly app,browse,thing
2136,Explore the option in the browser,explore,browser
2137,View review comment and share about the honey mustard chicken with sweet potato and also check recipe ingredient,,
2138,Explore honey mustard chicken with sweet potato including ingredient serving preparation time and difficulty level,,
2139,View the recipe,view,recipe
2140,Read or explorean unexpected journey,read,journey
2141,Listen the chapter 1 for an unexpected journey,listen,chapter
2142,Play to listen to the unexpected journey story,,
2143,Add your favorite club to follow,add,club
2144,Click add club to add a new club,add,club
2145,Add club to favorite list,add,club
2146,Learn sign language alphabet,learn,alphabet
2147,Read the hand sign language alphabet(finger spelling ),read,hand
2148,Learn american sign language alphabet,learn,american
2149,Discover the available option within the netatmo weatherstation app,discover,netatmo
2150,View my location for netatmto weatherstation,view,location
2151,Select an option to explore,select,option
2152,Select lg tv remote version from the given option,,
2153,Select the lg tv remote from the two option,,
2154,Select lg tv remote option,,
2155,Click save workout to record your progres or discard to cancel,save,workout
2156,Save the workout for the day,save,workout
2157,View detail about the workout and save it,save,
2158,Explore selected option from the menu,explore,menu
2159,Track workout,,
2160,Check the option on urbana application,check,urbana
2161,Select an option from the menu to explore,select,menu
2162,View training plan of grace chan,view,training
2163,Manage profile and setting,,
2164,Read the instruction and click on the close button,read,instruction
2165,Read the get started now ! page,read,get
2166,Click on the close button,click,button
2167,Set or manage application and notification setting,manage,application
2168,Manage the setting for the application,manage,application
2169,Manage the setting page,manage,page
2170,Manage baby breastfeeding setting feature,,
2171,Manage setting for breastfeeding,,
2172,Manage setting for breastfeeding,,
2173,Discover the available option within the setting menu,discover,menu
2174,Manage setting,,
2175,Manage setting,,
2176,Select gender and option to turn vibration on or off,,
2177,Click get started to instantly transfer money,transfer,money
2178,Click to get started to proceed to the next page on onboarding screen,,
2179,Click to get started for instant money transfer,start,money
2180,Select a song or music or record a sound to edit and set as a ringtone notification or alarm,select,song
2181,Cut a song or music or record a sound to edit and set as a ringtone,cut,song
2182,Select an option to explore,select,option
2183,Browse and select a competition to start,select,competition
2184,Explore the top league,explore,league
2185,Choose the favorite league,choose,league
2186,Adjust preference or configure weather notification in the setting menu,adjust,configure
2187,Manage setting for weather condition,,
2188,Manage setting for the app,,
2189,Review my subscribed plan or discover some new plan,review,plan
2190,View the subscribed plan,view,plan
2191,Check my subscribed plan,check,plan
2192,Select day and bible passage to read bible,,
2193,Select a date from the year,select,year
2194,Click to read the reading plan,read,reading
2195,Manage your setting,manage,setting
2196,Manage the notification setting,manage,notification
2197,Manage notification setting,manage,notification
2198,Login to explore or manage below listed option,,
2199,Select an option from menu,select,menu
2200,Select an option to explore,select,option
2201,Select an option from the list to explore,select,list
2202,Select an option from menu,select,menu
2203,Select option from the list,,
2204,Explore your weekly workload with prioritized action item,explore,workload
2205,Add weight for all the week,add,weight
2206,View or track pregnancy,,
2207,Input criterion to calculate ga cost or mileage,,
2208,Calculate ga cost on car loan calculator,,
2209,Calculate ga cost,,
2210,Enter detail and click the next button to create invoice,enter,detail
2211,Pres next to create invoice,,
2212,Create invoice,create,invoice
2213,Listen and explore different music sound,explore,music
2214,View the list of audio in the music player,view,audio
2215,Listen music,listen,music
2216,Manage your weather notification by turning on or off the option below,manage,weather
2217,Adjust weather notification setting,adjust,weather
2218,Manage weather notification,manage,weather
2219,Login with the available option for checking train timetable of italy,login,italy
2220,Sign in to train timetable italy using google or facebook,,
2221,Login using google or facebook,,
2222,Select mother age from the list,,
2223,Select mother age,,
2224,Choose a mother age based on preference,choose,mother
