id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
1841,current lack,try,unknown,section border,improve,placeholder image or alternative visual content,Cotton Tail,uniform font style to be use consistently,placeholder image or alternative visual content,prominently position back button,revise,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1842,positioning use design software to ensure alignment,reintegrate,breakfast icon,unknown,update,positioning use design software to ensure alignment,button or icon allow user to see current location,give,text color contrast,unknown,unknown,unknown,current lack,improve,placeholder image or alternative visual content,ranking text,increase,ranking text,purpose and function,align,purpose and function
1843,absence,reintegrate,breakfast icon,unknown,resize,appearance,information,emphasize,information,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1844,unknown,remove,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1845,ranking text,adjust,separate background,text field,adjust,consistent margin,positioning use design software to ensure alignment,reintegrate,breakfast icon,unknown,unknown,unknown,ranking text,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1846,separate background,choose,text color contrast,text field,increase,uneven padding,unknown,enlarge,unknown,ranking text,enlarge,unknown,facebook app,add,"more common language , such",more readable font,increase,current button size,positioning use design software to ensure alignment,be,positioning use design software to ensure alignment
1847,current button size,increase,current button size,unknown,create button,forgot passcode hyperlink,more readable font,increase,current button size,positioning use design software to ensure alignment,be,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1848,positioning use design software to ensure alignment,organize,positioning use design software to ensure alignment,ranking text,increase,separate background,clear and functional checkbox,replace,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1849,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,button or icon allow user to see current location,add,space element,current button size,increase,current button size,ranking text,consider,unknown,appearance,consider,unknown,ranking text,increase,ranking text,unknown,unknown,unknown
1850,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1851,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,separate background,change,text color contrast,ranking text,increase,consistent margin,separate background,choose,text color contrast,button or icon allow user to see current location,move,unknown,facebook app,thorough redesign,user-friendly menu system,ui,uniform font style to be use consistently,text color contrast
1852,ranking text,adjust,text color contrast,button or icon allow user to see current location,increase,separate background,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,ui,uniform font style to be use consistently,legible font be easy to read,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1853,text color contrast,be,dark color scheme Bounding Box,button or icon allow user to see current location,be,button or icon allow user to see current location,ui,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1854,button or icon allow user to see current location,reintegrate,button or icon allow user to see current location,cancel button,reintegrate,unknown,same font size / type / color weight,diversify,same font size / type / color weight,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1855,positioning use design software to ensure alignment,add,"more common language , such",positioning use design software to ensure alignment,add,prominent Save button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1856,related content item,adjust,current button size,choice,try,unknown,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1857,positioning use design software to ensure alignment,remove,purpose and function,ranking text,change,ranking text,text color contrast,change,text color contrast,section border,change,section border,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1858,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,heading,enlarge,heading,check box size,increase,current button size,facebook app,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1859,ranking text,change,text color contrast,more readable font,consider,unknown,space element,change,space element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1860,legibility,consider,unknown,current lack,reintroduce,separate background,more readable font,uniform font style to be use consistently,more readable font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1861,amount,consider,unknown,current button size,increase,current button size,more readable font,increase,current button size,item load but lack proper visual-blank image,replace,item load but lack proper visual-blank image,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1862,text color contrast,need,unknown,more readable font,increase,current button size,item load but lack proper visual-blank image,replace,item load but lack proper visual-blank image,placeholder image or alternative visual content,systematic arrangement,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1863,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1864,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1865,unknown,remove,search restaurant,unknown,button place,clear layout and intuitive navigation,positioning use design software to ensure alignment,remove,dark color scheme Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1866,purpose and function,add,section border,unknown,increase,same font size / type / color weight,current lack,uniform font style to be use consistently,separate background,positioning use design software to ensure alignment,reintegrate,appropriate icon clearly represent function,positioning use design software to ensure alignment,replace,ranking text,unknown,unknown,unknown,unknown,unknown,unknown
1867,positioning use design software to ensure alignment,add,breakfast icon,heading,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1868,main heading and sub heading,try,unknown,unknown,add,separation line,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1869,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,current button size,increase,current button size,unknown,add,button or icon allow user to see current location,ranking text,increase,current button size,purpose and function,separation,purpose and function
1870,ranking text,change,ranking text,breakfast icon,change,breakfast icon,unknown,uniform font style to be use consistently,"more common language , such",unknown,check mark,spelling babsy,ranking text,improve,separate background,Add Location button,align,Add Location button,Add Location button,make,Add Location button
1871,text delivery fee,change,text color contrast,back arrow icon,change,text color contrast,ranking text,improve,separate background,Add Location button,align,Add Location button,Add Location button,button place,Add Location button,unknown,unknown,unknown,unknown,unknown,unknown
1872,current button size,increase,current button size,separate background,choose,separate background,breakfast icon,make,unknown,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1873,uniform font style to be use consistently,adjust,brightness,ranking text,uniform font style to be use consistently,text color contrast,current button size,increase,current button size,uniform font style to be use consistently,replace,breakfast icon,setting bar,be,text color contrast,ranking text,be,text color contrast,breakfast icon,be,text color contrast
1874,text color contrast,consider,unknown,set icon,consider,unknown,ranking text,be,text color contrast,breakfast icon,be,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1875,text and title,change,text and title,positioning use design software to ensure alignment,improve,clear and functional checkbox,ranking text,uniform font style to be use consistently,text color contrast,facebook app,make,designer,uniform font style to be use consistently,uniform font style to be use consistently,clear layout and intuitive navigation,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown
1876,positioning use design software to ensure alignment,reintegrate,breakfast icon,absence,reintegrate,miss checkbox icon,ranking text,increase,current button size,ranking text,be,unnecessarily large font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1877,heading,increase,current button size,spacing,ensure,unknown,more concise language,order,list,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1878,unknown,reintegrate,universally recognize cancel or close feature,breakfast icon,increase,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1879,back arrow icon,omit,back arrow icon,head help,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1880,breakfast icon,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1881,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,breakfast icon,add,two label,unknown,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown
1882,breakfast icon,change,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1883,choice,add,appropriate icon clearly represent function,unknown,add,separation line,breakfast icon,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1884,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,ranking text,increase,ranking text,unknown,remove,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1885,button or icon allow user to see current location,add,boundary,ranking text,increase,current button size,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1886,button or icon allow user to see current location,make,unknown,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1887,ranking text,increase,current button size,ranking text,change,text color contrast,hamburger Menu,thorough redesign,dark color scheme Bounding Box,unknown,add,button or icon allow user to see current location,current button size,reduce,current button size,unknown,uniform font style to be use consistently,current button size,unknown,thorough redesign,unknown
1888,ranking text,align,ranking text,unknown,add,breakfast icon,button or icon allow user to see current location,add,button or icon allow user to see current location,more readable font,uniform font style to be use consistently,large font size and more white space Bounding Box,button or icon allow user to see current location,make,dark color scheme Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown
1889,breakfast icon,adjust,systematic arrangement,breakfast icon,adjust,text color contrast,ranking text,increase,current button size,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1890,ranking text,increase,current button size,ranking text,change,text color contrast,current button size,increase,current button size,unknown,uniform font style to be use consistently,current button size,unknown,thorough redesign,ui,unknown,add,button or icon allow user to see current location,ranking text,increase,current button size
1891,prominently position back button,revise,positioning use design software to ensure alignment,empty card,be,dark color scheme Bounding Box,ranking text,uniform font style to be use consistently,text color contrast,unknown,remove,placeholder image or alternative visual content,Buttermilk Biscuits checkbox,make,unknown,positioning use design software to ensure alignment,thorough redesign,ui,unknown,unknown,unknown
1892,Quantity value 1,uniform font style to be use consistently,text color contrast,ranking text,uniform font style to be use consistently,more readable font,Fried Chicken Entree heading,increase,current button size,Quantity value 1,distribute,user-friendly menu system,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1893,ranking text,increase,current button size,ranking text,change,text color contrast,current button size,increase,current button size,unknown,increase,current button size,most sell promotion and value meal,give,highlighted section,ranking text,increase,ranking text,open button,align,open button
1894,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,location tab,consider,unknown,ranking text,increase,current button size,ranking text,increase,ranking text,unknown,remove,unknown
1895,unknown,add,same font size / type / color weight,breakfast icon,change,breakfast icon,ranking text,offer,clear layout and intuitive navigation,open button,align,open button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1896,current button size,increase,current button size,positioning use design software to ensure alignment,reintegrate,breakfast icon,current lack,ensure,clear layout and intuitive navigation,pagination feature,prioritize,positioning use design software to ensure alignment,unknown,be,unknown,clear and functional checkbox,add,scroll bar or way for user to navigate,more readable font,increase,current button size
1897,item load but lack proper visual-blank image,adjust,systematic arrangement,spacing,make,spacing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1898,current button size,increase,current button size,space element,give,space element,purpose and function,offer,information,more readable font,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1899,unknown,reintegrate,positioning use design software to ensure alignment,unknown,reintegrate,well-define menu,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1900,unnecessarily large font,reduce,space element,heading and text body,adjust,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1901,ranking text,align,ranking text,unknown,remove,spacing,ranking text,uniform font style to be use consistently,more readable font,FAQ,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1902,unknown,unknown,unknown,positioning use design software to ensure alignment,tailor,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1903,location tab,add,separation line,current button size,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1904,text color contrast,choose,text color contrast,purpose and function,improve,purpose and function,text color contrast,consider,unknown,text color contrast,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1905,text color contrast,increase,separate background,current button size,uniform font style to be use consistently,more readable font,black circle,apply,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1906,ranking text,uniform font style to be use consistently,s small size and left-alignment,"more common language , such",reintegrate,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1907,color weight,increase,color weight,ranking text,increase,current button size,text color contrast,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1908,purpose and function,increase,uneven padding,unknown,increase,current button size,unknown,uniform font style to be use consistently,space element,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1909,black circle,adjust,button 's width,current button size,increase,current button size,ranking text,increase,current button size,Activate Detection button,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1910,filter,include,user-friendly menu system,taskbar,uniform font style to be use consistently,text color contrast,ranking text,increase,current button size,ranking text,increase,current button size,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown
1911,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,thorough redesign,ui,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1912,unknown,prioritize,purpose and function,unknown,increase,current button size,placeholder image or alternative visual content,uniform font style to be use consistently,"more common language , such",ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1913,unknown,unknown,unknown,current button size,uniform font style to be use consistently,"more common language , such",image rating and vote,add,information,placeholder image or alternative visual content,uniform font style to be use consistently,"more common language , such",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1914,breakfast icon,make,breakfast icon,Users,change,two label,confusing layout and unclear navigation,add,setting bar,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1915,button or icon allow user to see current location,adjust,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1916,button or icon allow user to see current location,adjust,text color contrast,button or icon allow user to see current location,try,unknown,more readable font,consider,unknown,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1917,positioning use design software to ensure alignment,improve,clear and functional checkbox,ranking text,make,ranking text,unknown,proofread,ranking text,text color contrast,uniform font style to be use consistently,text 's small size and low color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1918,two label,increase,current button size,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1919,positioning use design software to ensure alignment,increase,length,unknown,stand highlight,uniform font style to be use consistently,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1920,unknown,fix,dark color scheme Bounding Box,prominently position back button,revise,positioning use design software to ensure alignment,ranking text,be,separate background,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1921,unknown,unknown,unknown,positioning use design software to ensure alignment,reintegrate,breakfast icon,current lack,reintegrate,purpose and function,ranking text,adjust,current button size,unknown,unknown,unknown,absence,thorough redesign,positioning use design software to ensure alignment,ranking text,make,ranking text
1922,cancel button,unknown,unknown,unknown,ensure,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1923,button or icon allow user to see current location,add,button or icon allow user to see current location,unknown,reduce,space element,button or icon allow user to see current location,align,button or icon allow user to see current location,purpose and function,uniform font style to be use consistently,systematic arrangement,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1924,positioning use design software to ensure alignment,add,breakfast icon,positioning use design software to ensure alignment,increase,separate background,purpose and function,uniform font style to be use consistently,systematic arrangement,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1925,button or icon allow user to see current location,adjust,text color contrast,ranking text,increase,separate background,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1926,ranking text,increase,current button size,ranking text,change,text color contrast,purpose and function,thorough redesign,dark color scheme Bounding Box,unknown,uniform font style to be use consistently,current button size,more readable font,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown
1927,unknown,increase,current button size,positioning use design software to ensure alignment,unknown,unknown,clear and functional checkbox,add,scroll bar or way for user to navigate,positioning use design software to ensure alignment,reintegrate,appropriate icon clearly represent function,unknown,reintegrate,same font size / type / color weight,positioning use design software to ensure alignment,reintegrate,appropriate icon clearly represent function,more readable font,uniform font style to be use consistently,current button size
1928,current button size,increase,current button size,separate background,choose,positioning use design software to ensure alignment,ranking text,increase,current button size,check box size,increase,current button size,more readable font,uniform font style to be use consistently,current button size,checkboxe,uniform font style to be use consistently,image/ doodle be clearly visible,unknown,unknown,unknown
1929,setting page,thorough redesign,setting page,highlighted section,consider,unknown,current lack,consider,unknown,uniform font style to be use consistently,change,uniform font style to be use consistently,button or icon allow user to see current location,increase,separate background,breakfast icon,change,breakfast icon,bloat,change,bloat
1930,facebook app,increase,current button size,button or icon allow user to see current location,increase,current button size,unknown,group,purpose and function,breakfast icon,uniform font style to be use consistently,more metaphor,disabled option,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1931,radio checkboxe,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1932,positioning use design software to ensure alignment,increase,separate background,text color contrast,reintegrate,user-friendly menu system,more concise language,be,location tab,positioning use design software to ensure alignment,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1933,purpose and function,make,unknown,unknown,replace,breakfast icon,unknown,replace,breakfast icon,placeholder image or alternative visual content,be,"more common language , such",more concise language,be,location tab,positioning use design software to ensure alignment,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown
1934,spacing,uniform font style to be use consistently,similar graphic,highlighted section,add,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1935,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location,unknown,thorough redesign,unknown,unknown,uniform font style to be use consistently,current button size,uniform font style to be use consistently,keep,text color contrast
1936,current lack,consider,unknown,ranking text,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,uniform font style to be use consistently,consistent format,label Custom Search could be change,uniform font style to be use consistently,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown
1937,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1938,unknown,increase,placeholder image or alternative visual content,unknown,unknown,unknown,positioning use design software to ensure alignment,reintegrate,breakfast icon,ranking text,adjust,text color contrast,ranking text,improve,separate background,unknown,unknown,unknown,unknown,unknown,unknown
1939,two label,maintain,more readable font,unknown,maintain,systematic arrangement,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1940,text field,give,separate background,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1941,positioning use design software to ensure alignment,reintegrate,breakfast icon,separate background,improve,legibility,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1942,facebook app,enlarge,unknown,ranking text,increase,current button size,current button size,consider,unknown,stand highlight,enlarge,stand highlight,positioning use design software to ensure alignment,thorough redesign,ui,unknown,unknown,unknown,unknown,unknown,unknown
1943,current button size,try,unknown,unknown,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1944,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,setting bar,consider,unknown,ranking text,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown
1945,menu option layout,enlarge,unknown,menu option layout,offer,uneven padding,menu option layout,add,space element,current button size,increase,current button size,ranking text,make,unknown,facebook app,reintroduce,separate background,ranking text,make,ranking text
1946,t,remove,purpose and function,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1947,ranking text,increase,ranking text,uniform font style to be use consistently,change,text color contrast,breakfast icon,change,breakfast icon,ranking text,shorten,separation line,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1948,cross button,enlarge,cross button,separate background,change,text color contrast,unknown,increase,current button size,unknown,adjust,distribution ratio,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown
1949,cancel,uniform font style to be use consistently,cancel button,unknown,uniform font style to be use consistently,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1950,discount percentage,display,product,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1951,absence,add,appropriate icon clearly represent function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1952,absence,add,appropriate icon clearly represent function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1953,ranking text,change,ranking text,Coupons available,change,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1954,positioning use design software to ensure alignment,reintegrate,breakfast icon,absence,reintegrate,"more common language , such",separate background,consider,text color contrast,confusing layout and unclear navigation,revise,two label,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1955,ranking text,emphasize,ranking text,Coupons available,change,ranking text,unnecessarily large font,reduce,space element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1956,ranking text,increase,current button size,ranking text,change,text color contrast,current lack,leave alignment,space element,unknown,add,setting bar,button or icon allow user to see current location,add,button or icon allow user to see current location,unknown,keep,button or icon allow user to see current location,unknown,unknown,unknown
1957,prominently position back button,give,similar graphic treatment,breakfast icon,change,breakfast icon,unknown,unknown,unknown,button or icon allow user to see current location,move,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1958,text color contrast,change,text color contrast,two label,be,two label,breakfast icon,omit,gray tick,button or icon allow user to see current location,make,boundary,clear and functional checkbox,include,repeat number,unknown,unknown,unknown,unknown,unknown,unknown
1959,ranking text,increase,current button size,ranking text,change,text color contrast,background theme and graphic,change,background theme and graphic,unknown,try,unknown,purpose and function,thorough redesign,dark color scheme Bounding Box,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location
1960,current button size,reduce,current button size,ranking text,increase,ranking text,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1961,breakfast icon,reduce,current button size,current button size,align,breakfast icon,ranking text,increase,current button size,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,breakfast icon,make,breakfast icon,status indicator,make,status indicator,unknown,unknown,unknown
1962,ranking text,increase,current button size,ranking text,change,text color contrast,current button size,increase,current button size,purpose and function,thorough redesign,ui,unknown,add,button or icon allow user to see current location,unknown,thorough redesign,unknown,more readable font,uniform font style to be use consistently,unnecessarily large font
1963,heading,increase,separate background,heading,increase,separate background,Sign inbutton,improve,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1964,unknown,move,text and title,unknown,move,view,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1965,current button size,increase,current button size,vibrant and eye-catch color,separation,vibrant and eye-catch color,absence,reintegrate,appropriate icon clearly represent function,unknown,improve,positioning use design software to ensure alignment,breakfast icon,uniform font style to be use consistently,breakfast icon,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown
1966,unknown,allocate,space element,absence,add,button or icon allow user to see current location,ranking text,uniform font style to be use consistently,current button size,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1967,ranking text,increase,current button size,unknown,remove,purpose and function,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1968,positioning use design software to ensure alignment,increase,current button size,vibrant and eye-catch color,relocate,vibrant and eye-catch color,positioning use design software to ensure alignment,uniform font style to be use consistently,text 's small size and low color contrast,unknown,improve,space element,unknown,unknown,unknown,unknown,unknown,unknown,ranking text,make,ranking text
1969,Login,enlarge,unknown,current button size,increase,current button size,separate background,choose,text color contrast,button or icon allow user to see current location,increase,ranking text,ranking text,make,ranking text,unknown,unknown,unknown,unknown,unknown,unknown
1970,color weight,update,text color contrast,color weight,update,text color contrast,loading issue,make,unknown,text color contrast,change,color weight,text color contrast,change,color weight,unknown,unknown,unknown,ranking text,make,ranking text
